name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
S Scl,1115,6990-1060-1,149018345,5.5,362.57,M3e-M9e(Tc),3.8428,-32.0453,Scl
T Scl,2585,7525-288-3,115942898,8.47,202.42,M3-M6e,7.3005,-37.9085,Scl
U Scl,,,67599311,8.3,333.73,M5e,17.9016,-30.1079,Scl
V Scl,409,7523-750-1,120504920,8.7,296.1,M4e-M6e,2.1556,-39.2181,Scl
V0434 Sct,,,,6.3,,,277.0579,-11.2693,Sct
V0435 Sct,,,,4.7,,,277.3696,-12.6313,Sct
V0436 Sct,,,,6.7,,,277.5290,-7.6143,Sct
V0437 Sct,,,,6.9,,,279.3855,-5.3998,Sct
V0438 Sct,,,,8.3,,,280.3093,-6.2500,Sct
V0439 Sct,,,,7.2,,,281.4518,-4.0129,Sct
V0440 Sct,,,,9.4,,,281.6117,-6.6761,Sct
V0441 Sct,,,,5.2,,,277.1317,-9.9696,Sct
V0472 Sct,,,,8.5,,,281.5918,-5.0427,Sct
V0499 Sct,,,,3.85,635.0,C,276.6645,-6.9010,Sct
V0501 Sct,,,,5.16,659.0,C,276.8926,-8.6232,Sct
R Ser,141850,1496-1863-1,329072394,5.16,356.41,M5IIIe-M9e,237.6739,+15.1336,Ser
S Ser,136695,939-6-1,98537460,7.0,371.84,M5e-M6e,230.4147,+14.3148,Ser
T Ser,,445-1286-1,320153865,9.1,338.12,M7e,277.2031,+6.2981,Ser
U Ser,144782,949-131-1,266059505,7.8,237.5,M3e-M6e,241.8236,+9.9312,Ser
MW Ser,,,371267926,2.7,,,232.1820,+3.8286,Ser
NR Ser,,,419830399,7.57,,,266.7181,-14.0899,Ser
NS Ser,,,419981067,7.7,,,266.8683,-14.2785,Ser
NT Ser,,,420712313,7.79,,,267.1440,-13.8012,Ser
NU Ser,,,420717422,7.59,,,267.1463,-13.0412,Ser
NV Ser,,,421590049,7.6,,,267.6758,-12.4644,Ser
NX Ser,,,106766931,2.8,,,278.9450,+5.5974,Ser
S Sex,91637,4912-598-1,124527488,8.2,264.9,M2e-M5e,158.7335,-0.3426,Sex
R Tau,28309,673-735-1,284675179,7.6,320.9,M5e-M9e,67.0750,+10.1624,Tau
S Tau,,,284676996,9.2,374.5,M6.5e-M9e,67.2990,+9.9454,Tau
V Tau,30868,1284-1240-1,436664403,8.5,168.7,M0e-M4.5e,73.0096,+17.5380,Tau
Z Tau,,,247922816,9.2,466.2,"S7.5,1e(M7e)",88.1037,+15.7956,Tau
RU Tau,,,247923183,9.7,544.6,M3.5e-M6.5,88.1533,+15.9707,Tau
RX Tau,29411,682-309-1,345536378,9.1,331.8,M6e-M7e,69.5607,+8.3359,Tau
VX Tau,,,60876028,9.8,298.9,M8e,66.3634,+16.5564,Tau
V1083 Tau,,,445916098,5.99,,,55.9328,+6.9251,Tau
V1215 Tau,,,62248764,9.9,,,79.4315,+25.4165,Tau
V1217 Tau,,,432908411,9.8,,,82.5757,+20.3674,Tau
V1316 Tau,,,454150586,5.31,226.0,N,65.3636,+1.4871,Tau
R Tel,192016,,129373154,7.6,467.0,M5IIe-M7e,303.6880,-46.9819,Tel
U Tel,177666,,158162541,9.1,449.0,M7e,287.0095,-48.9034,Tel
W Tel,187113,,166343380,9.4,310.0,M5e-M8(III:)e,297.6444,-50.0094,Tel
Z Tel,185111,,143463944,9.2,233.0,M4e,294.8909,-45.5758,Tel
RU Tel,177692,8379-2403-1,158161853,9.5,273.3,M2e-M4e,287.0294,-48.2645,Tel
SS Tel,,,119776355,9.1,416.5,,278.0697,-56.6173,Tel
SV Tel,,8382-2149-1,6524889,8.5,226.0,M4e-M6e,284.0747,-49.4694,Tel
BQ Tel,,8781-1240-1,370109862,9.6,287.7,M5e,305.2603,-56.1839,Tel
R Tri,16210,2332-1426-1,73569673,5.4,266.9,M4IIIe-M8e,39.2597,+34.2643,Tri
S Tri,,2327-655-1,285466098,8.9,241.6,M2e,36.8313,+32.7397,Tri
YY Tri,,,118335153,5.84,,,34.5251,+28.6126,Tri
W TrA,,9275-365-1,364419616,9.4,248.7,Me,253.0027,-67.9872,TrA
Z TrA,151896,9047-768-1,447600091,9.8,150.55,M3e-M5IIe,253.6948,-65.2019,TrA
RU TrA,149221,,363596981,9.8,326.5,M4e,249.6157,-68.5417,TrA
EF TrA,,9274-4088-1,363649136,9.2,219.0,Me,250.1420,-68.2516,TrA
R Tuc,224379,,280793692,8.5,286.06,M5e,359.3598,-65.3847,Tuc
S Tuc,1925,8841-1360-1,231866291,8.2,240.71,M3e-M5II-Ibe,5.7820,-61.6714,Tuc
T Tuc,214575,9118-1617-1,394583946,7.5,250.3,M3IIe-M6IIe,340.1395,-61.5538,Tuc
U Tuc,5774,9141-7417-1,181659657,8.0,264.8,M3e-M7e,14.3047,-75.0001,Tuc
R UMa,92763,4385-1427-1,310965252,6.5,301.62,M3e-M9e,161.1603,+68.7758,UMa
S UMa,110813,4162-785-1,159527362,7.1,225.87,"S0,9e-S5,9e",190.9861,+61.0932,UMa
T UMa,109729,3847-1129-1,316417053,6.6,256.6,M4IIIe-M7e,189.0978,+59.4869,UMa
X UMa,73507,3422-2069-1,142181754,8.1,249.04,M3e-M4e,130.2062,+50.1366,UMa
RR UMa,,4164-585-1,355917056,8.6,230.58,M4e,201.4847,+62.3810,UMa
RS UMa,110064,3847-726-1,99329913,8.3,258.97,M4e-M6e,189.7398,+58.4834,UMa
RU UMa,101605,3014-2241-1,10154492,8.1,252.46,M3e-M5e,175.4177,+38.4748,UMa
S UMi,139492,4563-519-1,159331270,7.5,331.0,M6e-M9e,232.3940,+78.6334,UMi
T UMi,118556,4408-163-1,298160004,7.8,301.0,M4e-M6e,203.6710,+73.4314,UMi
U UMi,125556,4178-277-1,154182243,7.1,330.92,M6e-M8e,214.3329,+66.7942,UMi
W Vel,299011,8604-52-1,463472968,8.3,394.72,M5-M8IIIe,153.8118,-54.4783,Vel
Y Vel,,8179-480-1,297463086,8.0,449.9,M8e-M9.5,142.2559,-52.1817,Vel
Z Vel,298731,8598-1886-1,469163093,7.8,411.4,M9e,148.2262,-54.1800,Vel
RS Vel,81432,8175-154-1,295689389,9.1,409.5,M7e,140.9387,-48.8667,Vel
RW Vel,80837,8174-590-1,373258785,8.9,443.1,M7III(II)e,140.0809,-49.5252,Vel
CH Vel,,,158148087,9.9,327.0,,162.0835,-41.5104,Vel
KM Vel,,,362368622,8.12,,,145.3083,-49.3798,Vel
MQ Vel,,,76412004,3.5,,,140.3270,-45.5158,Vel
MU Vel,,,34304816,8.6,,,146.7334,-47.5116,Vel
V0474 Vel,,,,7.49,703.0,C,133.7564,-51.1221,Vel
V0488 Vel,,,,5.39,431.0,C,139.8217,-52.0078,Vel
V0490 Vel,,,,8.47,265.0,C,141.6895,-49.3737,Vel
V0493 Vel,,,,7.68,413.0,C,143.7374,-50.4084,Vel
V0499 Vel,,,,4.36,630.0,C,148.2779,-53.6482,Vel
V0500 Vel,,,,5.15,688.0,C,148.6697,-55.3377,Vel
V0561 Vel,,,,9.8,342.2,M10,150.2032,-47.1348,Vel
R Vir,109914,295-2-1,399118541,6.1,145.63,M3.5IIIe-M8.5e,189.6247,+6.9886,Vir
S Vir,117833,4972-30-1,617248,6.3,375.1,M6IIIe-M9.5e,203.2505,-7.1947,Vir
T Vir,106430,,176939705,9.0,339.47,M6e,183.6528,-6.0358,Vir
U Vir,111691,297-308-1,380729865,7.4,206.64,M2e-M8e:,192.7739,+5.5532,Vir
V Vir,117045,4962-612-1,115019225,8.1,250.08,M3e-M6e,201.9506,-3.1730,Vir
Y Vir,,,130642986,8.3,218.43,M2e-M5e,188.4708,-4.4221,Vir
Z Vir,,,308261457,9.9,305.71,M5e,212.5892,-13.3041,Vir
RS Vir,126753,321-490-1,402184032,7.0,353.95,M6IIIe-M8e,216.8183,+4.6781,Vir
RU Vir,111166,293-629-1,380674933,9.0,433.2,"C8,1e(R3ep)",191.8267,+4.1448,Vir
SU Vir,104959,,86229163,8.4,208.6,M2e-M5.5e,181.3117,+12.3606,Vir
SV Vir,,5521-878-1,152720909,9.3,295.33,M4e,180.0867,-10.1848,Vir
SY Vir,,,119131209,9.6,236.65,M6:,209.6566,-4.5758,Vir
BZ Vir,,6115-349-1,25994229,9.5,150.92,M5e,195.1719,-17.6466,Vir
IO Vir,,,20036707,4.0,,,212.8234,-7.7472,Vir
PW Vir,,,1694828,9.5,255.2,M7e,195.7943,-16.0557,Vir
R Vol,,9186-461-1,391904434,8.7,453.6,C(N)e,106.4008,-73.0144,Vol
S Vol,,9191-1380-1,271811329,7.7,394.8,M4e,112.4399,-73.3789,Vol
T Vol,52905,8920-1363-1,177165772,9.7,175.0,M5II-IIIe,104.4497,-67.1238,Vol
AI Vol,,,300743063,2.04,511.0,C,116.2600,-71.3294,Vol
R Vul,200687,2173-93-1,283849290,7.0,136.73,M3e-M7e,316.0938,+23.8217,Vul
BD Vul,,2165-417-1,396845364,9.3,430.0,"C6-7,3e(Ne)",309.3243,+26.4870,Vul
OO Vul,,,357420623,7.4,365.0,M9,290.2627,+20.0423,Vul
OW Vul,,,385587634,9.2,375.0,M6,290.6007,+20.0625,Vul
OX Vul,,,357689124,9.6,178.0,M9,290.6338,+19.8836,Vul
OZ Vul,,,358890763,9.8,350.0,M6,291.0864,+20.0071,Vul
V0371 Vul,,,,6.7,,,305.0913,+22.7301,Vul
V0442 Vul,,,,2.97,,,314.7900,+27.4441,Vul
