bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
CP-72 1644,HEN  1042,131891,9266-858-1,402858494,8.1,Be* sh,225.2830,-72.7187,Aps
CP-60 5634,HEN  1048,133495,9020-2256-1,454559349,8.6,B3 V(n),226.8754,-60.7763,Cir
CP-61 4838,HEN  1050,133738,9025-1827-1,454778372,6.96,B2 V e,227.2634,-61.8872,Cir
CD-48 9704,,134481,8298-4184-1,125080827,3.87,B9 V,227.9853,-48.7369,Lup
CP-53 6337,HEN  1055,134484,8694-968-1,126125347,8.3,B9 III,228.0814,-53.6574,Lup
CP-65 3001,HEN  1054,134401,9033-2403-1,262081838,8.9,B2 IV nnep,228.2984,-65.9692,TrA
CP-50 7705,HEN  1056,134671,8306-1781-1,126460390,10.0,B7 II,228.2585,-50.7348,Lup
CP-57 6960,HEN  1059,134958,8706-14-1,42753726,8.08,B1 III ne,228.8171,-58.1724,Cir
CP-60 5698,MWC   234,135160,9021-1982-1,455463415,5.73,B0.5 V,229.1524,-60.9037,Cir
CP-56 6667,HEN  1061,135354,8702-911-1,43708176,9.1,"B8 V,n",229.2876,-57.0284,Cir
CD-47 9860,,135734,,144028101,4.27,B8 V,229.6330,-47.8739,Lup
CP-66 2752,HEN  1063,135570,9033-3159-1,263017141,8.4,B6/B7 V,229.9414,-67.1905,TrA
CP-61 4896,HEN  1065,,9025-294-1,455809360,9.63,B1.5 V e,230.0397,-62.2511,Cir
CP-54 6469,HEN  1066,136250,8699-1076-1,46211527,11.1,"B7 V,n",230.5094,-55.2458,Nor
CP-49 8031,HEN  1068,136556,8303-1041-1,138187342,9.6,B1 V ne,230.8337,-50.1159,Lup
CP-63 3586,,136860,9030-3070-1,456446715,8.4,B8 IV,231.6245,-64.2122,TrA
CP-53 6483,HEN  1069,136968,8695-2105-1,141037731,8.3,"B5 V,ne",231.4798,-53.7708,Lup
CP-60 5810,HEN  1070,137380,9022-607-1,460976315,9.4,B9 II/III,232.1963,-60.7077,Cir
CD-4410140,HEN  1072,137518,8295-1012-1,151131426,7.9,B1 III nep,232.0732,-45.1342,Lup
CP-72 1802,MWC   235,137387,9271-2376-1,425657630,5.49,"B1 ,nep",232.8784,-73.3891,Aps
CP-50 8120,HEN  1075,137836,8307-1317-1,146454560,9.0,"B8 V,n",232.5999,-51.1098,Nor
CP-60 5874,HEN  1076,138131,9022-605-1,271614171,9.2,"B6 V,ne",233.2970,-60.9087,TrA
BD+31 2750,MWC   237,138749,,16887256,4.14,"B6 V,nn",233.2323,+31.3588,CrB
CP-56 6798,HEN  1078,138477,8704-2150-1,285187855,8.4,B7 III,233.7702,-56.9837,Nor
CP-66 2798,HEN  1080,138539,9034-14-1,263313977,8.9,B7 IV/V,234.1774,-66.5472,TrA
CP-57 7133,HEN  1083,139314,8704-219-1,278313134,10.16,Be*,235.0711,-58.0631,Nor
CD-4210636,HEN  1084,139431,7844-1601-1,254340855,7.4,"B5 V,e",234.9403,-42.7669,Lup
CP-58 6154,,139491,,279307075,8.5,B9 IV,235.3471,-58.7743,Nor
CP-49 8451,HEN  1087,139790,8304-641-1,190558492,8.8,B3 III ne,235.5826,-49.9976,Nor
CP-67 2947,HEN  1089,140114,9035-1453-1,426838801,9.56,B8/B9 III,236.5537,-67.4434,TrA
CP-58 6277,HEN  1091,140336,8708-1471-1,70966650,9.7,B1: III nne,236.5130,-58.9518,Nor
CP-56 6903,,140843,8705-1695-1,76556351,8.4,B5 III/IV,237.1614,-57.1033,Nor
CP-54 6686,HEN  1098,140883,8701-107-1,75708438,11.1,"B6: V,nn",237.1562,-54.8611,Nor
CP-54 6687,HEN  1099,140926,8701-161-1,75708361,8.0,B2 IV ne,237.1995,-54.3953,Nor
CP-59 6345,HEN  1100,140946,9023-427-1,424884512,9.2,B2 IV ne,237.3883,-60.1503,Nor
CP-61 5351,HEN  1109,141689,9023-528-1,340878553,9.6,Be*,238.4410,-61.6635,TrA
CP-54 6759,HEN  1110,141926,8701-370-1,84513533,8.6,B2: III: nnep,238.5911,-55.3283,Nor
CD-2312569,,142184,6778-1980-1,220531502,5.42,"B2.5 V,n",238.4826,-23.9774,Sco
CP-54 6802,HEN  1114,142237,8701-997-1,89593655,8.67,B3 IV ne,239.0251,-54.9520,Nor
CP-57 7363,HEN  1116,142349,8705-2715-1,90836305,8.8,B5 IV,239.2813,-57.5799,Nor
BD+42 2652,MWC   584,142926,3060-1881-1,157420220,5.75,B7: e sh,238.8772,+42.5655,Her
BD-13 4302,MWC   239,142983,5623-1368-1,410627159,4.88,B4 III,239.5471,-14.2787,Lib
CP-52 9164,HEN  1127,143140,8710-534-1,274590119,9.7,B8 III,240.2909,-52.7784,Nor
CP-65 3208,ASW  1408,143343,9048-1502-1,343248342,10.0,"B8 V,np",241.0082,-65.6650,TrA
CD-3410700,HEN  1135,143578,7337-694-1,93610704,8.9,Be*,240.6587,-35.2526,Lup
CP-60 6348,MWC   240,143448,9036-2707-1,343376491,7.3,B3 IV,240.9349,-60.4978,TrA
CP-48 8139,HEN  1133,143545,8314-1093-1,275927504,9.0,B1 V: ne,240.7882,-48.7226,Nor
CP-56 7221,HEN  1134,,8718-1416-1,426683285,10.11,Be*,240.9761,-56.5531,Nor
CP-47 7528,HEN  1136,143700,8314-623-1,258306961,8.4,B2 III ne,241.0087,-47.4755,Nor
CP-54 7060,HEN  1139,144320,8714-2117-1,430248409,9.2,B2 IV ep,241.9990,-55.1301,Nor
CP-51 8967,HEN  1144,144555,8323-1125-1,215511795,9.7,B2.5 IV nep,242.2306,-51.9615,Nor
CD-3910338,HEN  1149,144965,7856-121-1,382795601,7.06,Be*,242.5440,-40.1286,Sco
CP-48 8197,,144970,8319-138-1,215983126,9.78,"B0 V,e",242.6971,-49.0217,Nor
CP-53 7250,,145040,8710-1922-1,207162338,9.4,B8 IV,242.9002,-54.3143,Nor
CP-51 9047,,145301,8323-2367-1,267105647,9.6,B9 IV/V n,243.1791,-52.1769,Nor
CP-52 9422,HEN  1162,145846,8323-68-1,410599289,8.77,B2 III: ne,243.9160,-52.3704,Nor
CP-53 7687,,146357,8711-2024-1,314416691,9.8,B3 II/III,244.6623,-53.3188,Nor
CD-4910513,HEN  1169,146444,8319-698-1,314868712,7.71,"B4 V,e",244.6631,-49.4134,Nor
CP-54 7452,HEN  1170,146463,8715-1647-1,208580496,8.2,B2 IV: nep,244.8086,-54.9610,Nor
CD-4910525,HEN  1172,146501,8320-44-1,315207705,7.28,B5/7 (Vn),244.7608,-49.4061,Nor
CP-64 3446,HEN  1168,146381,9045-2395-1,300524274,8.5,B6 III:,245.0548,-64.4975,TrA
CP-57 7866,HEN  1173,146531,8723-42-1,208495676,9.68,B6 III,244.9816,-58.1668,Nor
CP-52 9561,HEN  1175,146596,8711-2092-1,315679257,7.98,B5 IV/V,244.9269,-52.7715,Nor
CP-69 2533,HEN  1177,146755,9273-867-1,362378555,9.5,B3/7 (Vne),245.7694,-69.3511,TrA
CP-52 9731,HEN  1183,147274,8711-1015-1,412140640,8.3,B7 IV e,245.9166,-53.0436,Nor
CP-55 7498,HEN  1184,147302,8715-1941-1,220728104,7.74,"B3 V,ne",246.0051,-55.4533,Nor
CP-64 3476,HEN  1182,147230,9045-318-1,350472809,9.5,B7 V,246.2561,-65.0403,TrA
CP-49 9295,ASW  1476,147580,8320-1260-1,3178733,9.1,B7 V,246.2679,-49.7392,Nor
CP-72 1946,HEN  1185,147320,9282-1122-1,291445431,8.1,B9 IV/V,246.9461,-73.0863,Aps
CD-4510640,MWC   585,147756,8312-2096-1,223994987,8.5,B1.5 V ne,246.4419,-45.5425,Nor
CP-43 7558,HEN  1193,148001,7865-281-1,224802716,9.1,B5 II/III,246.7793,-43.3879,Nor
CP-53 7997,HEN  1192,,8712-2498-1,10536200,9.8,B2.5 IV ne,246.9534,-53.5346,Nor
BD-18 4282,MWC   241,148184,6207-1170-1,204191276,4.42,B1 V,246.7556,-18.4554,Oph
CP-54 7704,ASW  1486,148027,8716-1079-1,221092292,10.2,B9 IV,247.0417,-54.6109,Nor
CP-56 7706,HEN  1194,148028,8720-1742-1,221155177,8.5,B5 IV/V,247.1124,-56.3970,Nor
CD-4410889,,148259,7865-2124-1,225735711,7.4,"B2 V,e",247.2078,-44.8121,Nor
CP-46 8038,HEN  1200,148567,8325-5810-1,226712279,7.7,B1 III ne,247.7611,-46.4791,Nor
CP-50 9475,,148692,8333-799-1,,8.3,B7 V,248.0733,-50.5417,Nor
CP-50 9496,HEN  1206,148877,8337-731-1,22825907,8.5,B7 V: ep,248.4130,-51.2621,Nor
CP-61 5734,HEN  1207,148907,9042-1527-1,324940394,9.4,B6 V,248.8085,-61.8941,TrA
CP-49 9426,,330950,8333-1004-1,25883580,9.64,"B1 V,e",248.6814,-49.5526,Ara
CP-51 9703,HEN  1214,149128,8337-345-1,26311013,9.3,B7 V,248.8465,-52.2516,Ara
CP-41 7521,MWC   862,149313,7862-115-1,229210549,8.7,B2 IV: ne,248.9521,-42.1226,Sco
CP-49 9449,HEN  1219,149298,8333-1429-1,28885389,9.93,"B1: V,e",249.0482,-49.2626,Ara
CP-47 7794,,149568,8329-823-1,231038852,9.4,B5/7 V n,249.4775,-47.3083,Ara
CP-47 7796,HEN  1224,149610,8329-2866-1,31449841,9.05,B5 V,249.5459,-48.2194,Ara
CP-5210092,HEN  1229,149729,8712-1770-1,35311214,9.1,"B2 V,n",249.8481,-52.5357,Ara
CP-51 9804,HEN  1231,149814,8337-341-1,35735021,9.1,B6 IV,249.9574,-52.1207,Ara
CP-68 2789,HEN  1226,149671,9274-4090-1,363748801,5.91,B7 IV,250.3469,-68.2958,TrA
CD-4010594,HEN  1238,150093,7871-2545-1,85001695,7.2,B4 II/III,250.1764,-41.1264,Sco
CP-47 7829,,150230,8330-5353-2,233661535,9.3,"B8,B3 V",250.4692,-47.3797,Ara
CP-46 8138,HEN  1240,150288,8330-1042-1,233563508,8.67,B2 IV: nep,250.5683,-47.0153,Ara
CD-4610952,HEN  1243,150422,8326-723-1,234422456,8.9,B1.5 V ne,250.7812,-46.5063,Ara
CD-4510869,,150533,8326-299-1,234752466,9.47,B0 IV,250.9266,-45.4628,Sco
CP-65 3353,HEN  1241,150336,9050-1573-1,447326426,8.8,"B8 V,n",251.2799,-65.8728,TrA
CD-4411081,HEN  1244,150625,7879-1942-1,234752189,9.8,B8,251.0730,-44.7713,Sco
CP-56 7854,HEN  1247,150930,8721-894-1,344341901,8.9,B7 III,251.8363,-57.0345,Ara
CD-4510941,HEN  1253,151113,,237059039,7.7,B5 II/III,251.8760,-45.4596,Sco
CP-51 9933,HEN  1252,151083,8338-2080-1,51288359,9.2,B1: III nne,251.9641,-51.7674,Ara
CP-45 8157,HEN  1259,328990,8326-3124-1,246189955,10.0,Be*,252.6050,-46.1546,Ara
CP-53 8192,,151743,8713-2153-1,56447057,9.5,B8 IV/V,253.0134,-53.8293,Ara
CP-41 7683,,152060,7876-2298-1,338738989,9.81,B2 IV,253.2496,-41.4070,Sco
CP-50 9753,,152358,8339-241-1,347225198,9.5,B/A shell,253.8538,-50.6361,Ara
CD-5010905,HEN  1282,152478,8339-3558-1,347665026,6.33,"B3 V,nep",254.0367,-50.6744,Ara
CP-48 8919,HEN  1285,152505,8335-1531-1,347529796,9.2,"B2/B3 V,ne",254.0392,-49.0330,Ara
CP-46 8299,HEN  1288,152541,8327-708-1,,7.45,B7 V,254.0599,-46.8484,Ara
CP-39 7162,,,,,9.8,B3 V e,253.8599,-39.4294,Sco
CP-40 7661,AS    215,322422,7872-1119-1,342257745,9.75,"B0.5 III,e",254.3486,-40.3602,Sco
CP-45 8234,HEN  1297,152979,8327-1291-1,121345684,8.18,B2 IV,254.7363,-46.1285,Ara
CD-4211721,MWC   865,,,,11.43,"B ,ep",254.7707,-42.6991,Sco
CP-43 7769,HEN  1303,153199,7880-134-1,121689850,8.12,B3 II/III,254.9872,-43.2206,Sco
CP-49 9714,MWC   244,153222,8335-1898-1,211750828,9.3,B1.5 V ep,255.1195,-49.2538,Ara
CP-42 7590,MWC   588,153295,7877-602-1,121905577,9.1,B1: III e,255.1045,-42.3164,Sco
CP-58 6964,MWC   245,153261,8738-3426-1,171895762,6.11,"B2 IV,ne",255.4472,-58.9578,Ara
CP-58 6965,HEN  1306,153262,8738-1940-1,171896106,7.6,B0/B3 Vnne,255.4747,-59.0474,Ara
CD-2413055,MWC   867,153977,6815-2763-1,20482563,9.47,"B6 V,n",255.9316,-24.8350,Oph
CP-5110144,MWC   246,153879,8340-989-1,212551379,8.5,B2: V ne,256.1834,-51.4080,Ara
CD-3911086,MWC   868,154040,7869-1017-1,347889981,9.9,"B2: V:,e",256.2028,-39.3154,Sco
CP-5210438,HEN  1323,154111,8340-932-1,212806475,8.3,B5 IV/V,256.5627,-52.4821,Ara
CP-48 8995,MWC   248,154154,8332-2492-1,212755033,8.5,B2 IV nne,256.5295,-48.4182,Ara
CD-3611217,MWC   249,154218,7372-606-1,377397497,7.5,B3 IV ne,256.4284,-36.7401,Sco
CP-47 8030,HEN  1326,154170,8332-626-1,,10.1,B9 III,256.5428,-47.4192,Ara
CD-3611221,MWC   250,154243,7372-375-1,377395668,8.1,B2 V ne,256.4698,-36.5877,Sco
CP-44 8236,HEN  1329,154314,7881-617-1,125759847,10.4,B9 II/III,256.7272,-44.7330,Sco
CD-3511320,MWC   251,154450,7373-949-1,42426528,8.6,B1: III nne,256.7712,-35.7585,Sco
CP-49 9764,HEN  1335,154538,8336-840-1,213153401,8.2,B3 V,257.1310,-49.4674,Ara
CD-3811593,MWC   871,154911,7870-360-1,224822835,9.1,B0.5: IV ne,257.5269,-38.6239,Sco
CD-3113694,MWC   872,155349,7365-112-1,46170232,9.52,"B2 V,e",258.0961,-32.1460,Sco
CP-42 7687,HEN  1350,155352,7878-246-1,383162375,8.2,B2 V,258.2515,-42.6333,Sco
CD-4411526,HEN  1354,155436,7882-318-1,216158265,8.9,B0.5 III ne,258.4315,-44.7291,Sco
CP-54 8115,HEN  1353,155438,8727-1014-1,174121793,8.5,"B6: IV,n",258.6385,-54.3698,Ara
CD-3212518,MWC   253,155851,7366-271-1,151690342,8.19,B1 III nne,258.8902,-32.6889,Sco
CD-4211983,MWC   874,155896,,216649528,6.75,"B7 V,e",259.0730,-42.3385,Sco
CP-47 8152,HEN  1364,156008,8345-3046-1,216775415,10.1,B8 IV,259.3774,-47.7391,Ara
CD-4111445,,156172,7878-225-1,216875138,7.9,Be*,259.4984,-42.0601,Sco
CD-3212573,MWC   254,156325,7366-475-1,153803859,6.36,"B5 V,n",259.5847,-32.5528,Sco
CD-3911312,AS    224,156409,7874-809-1,192921848,9.0,B3 IV ne,259.8199,-39.8071,Sco
CD-3711463,MWC   255,156468,7870-1580-1,193960030,7.76,"B1 V,e",259.8503,-38.0033,Sco
CD-3811773,MWC   257,156702,7883-1559-1,195816536,8.72,B2 V ne,260.2105,-38.6522,Sco
CD-2413276,MWC   590,156831,6825-381-1,83027104,9.3,Be*,260.1771,-24.2710,Oph
CD-4711484,MWC   258,157042,8345-4829-1,217667184,5.25,"B2 III,ne",260.8168,-47.4675,Ara
CD-3811806,MWC   877,323154,7883-1694-1,198850776,10.1,Be*,260.7600,-39.0601,Sco
CP-42 7745,MWC   876,157099,7891-810-1,217597679,9.0,B3 IV ne,260.8062,-42.8289,Sco
CP-56 8225,,157246,8736-3857-1,325709821,3.3,B1 V e,261.3484,-56.3772,Ara
CP-63 4103,HEN  1395,157273,9061-3161-1,305090822,8.8,B8/9 V(n),261.6592,-63.8144,Ara
CD-4611530,MWC   259,157832,8346-2916-1,218139464,6.65,"B5 V,nne",261.9778,-47.0258,Ara
BD-16 4526,MWC   260,158319,6235-2651-1,430869304,8.82,Be*,262.3265,-16.5903,Oph
CD-4911511,MWC   261,158427,8350-2600-1,412724758,2.95,"B2 V,ne",262.9610,-49.8748,Ara
CD-2313412,,158643,6826-368-1,191913102,4.81,B9.5 V,262.8537,-23.9618,Oph
CP-58 7170,HEN  1419,158503,8740-384-1,73759997,6.9,"B7: V,nnep",263.2972,-58.5574,Ara
CD-4511660,HEN  1421,158864,8342-4690-1,218854809,8.15,B1 V: nne,263.4856,-45.6266,Ara
CP-45 8715,,159489,8342-1635-1,16902823,8.1,B3 V ep,264.3077,-45.1571,Sco
CD-3511750,MWC   262,159684,7384-16-1,105057494,8.1,B1.5 III e,264.3786,-35.3329,Sco
CD-3213086,MWC   264,160202,7380-725-1,107322894,6.76,"B7 V,e",265.0040,-32.2007,Sco
CD-2813418,,160319,6839-196-1,202029179,7.0,B3 IV ne,265.0997,-28.9224,Oph
CP-46 8851,HEN  1459,160648,8343-1373-1,31753296,7.56,B6 III,265.8507,-46.5877,Ara
BD-18 4629,MWC   885,160886,6252-274-1,238220564,10.1,Be*,265.7962,-18.3016,Oph
CD-2711872,MWC   268,161103,6836-576-1,203766453,8.69,B1: III: nne,266.1907,-27.2287,Sgr
BD+05 3471,,161261,427-1623-1,350327313,8.3,B9 shell,266.0654,+5.7141,Oph
BD- 9 4598,MWC   271,161306,5665-535-1,297298220,8.2,"B0: ,ne",266.2817,-9.8147,Oph
BD- 1 3388,MWC   887,161543,5082-1752-1,46795687,8.6,Be*,266.5630,-1.1496,Oph
CD-2711944,MWC   272,316285,6836-356-1,127217595,8.3,Be*,267.0582,-28.0145,Sgr
CD-2612367,,161756,6836-163-1,127351742,6.35,B4 IV,267.1155,-26.9745,Sgr
CD-2914016,HEN  1486,316341,6840-1414-1,127046056,9.74,"B0.5 V p,e:",267.1480,-29.9578,Sgr
CP-41 8262,HEN  1484,161705,7893-154-1,470251115,8.67,B8 III,267.2535,-41.7127,Sco
CD-3312490,MWC   890,161774,7385-1338-1,113751050,8.6,Be*,267.2135,-33.8619,Sco
CD-3812215,,161807,7885-479-1,470299667,7.01,"B3 V,ne",267.3528,-38.9830,Sco
CD-4711839,HEN  1492,161858,8348-1627-1,21249978,7.4,"B6 V,ne",267.5784,-47.2299,Ara
BD+24 3264,MWC   594,162428,2081-1445-1,423069630,7.0,B7 V n,267.5046,+24.4675,Her
CD-3014810,HEN  1500,316436,7378-39-1,444733961,10.22,"B3: IV:,ep",267.8230,-30.1353,Sco
BD+48 2581,,162732,3515-1274-1,356239023,6.4,B7 V n,267.5138,+48.3935,Her
-28-17489,AS    248,316520,6853-879-1,131099173,10.79,"B5 :IV :e:,nn",268.0096,-28.7499,Sgr
CD-3711948,MWC   892,162352,7886-2848-1,469355762,8.2,B1.5 V ne,268.0765,-37.7500,Sco
CD-2914098,AS    249,316587,6853-718-1,131257915,10.58,"B1 :V :e:,n",268.0563,-29.9311,Sgr
CP-42 8040,MWC   893,162568,7894-2273-1,22688271,8.0,B3 V ne,268.4147,-42.8974,Sco
CD-2413584,,162717,6841-1483-1,131887771,9.35,B2 III,268.3578,-24.2651,Sgr
CD-2413585,MWC   273,162718,6845-340-1,131894593,8.73,"B ,ep V",268.3679,-24.7740,Sgr
CD-2914172,AS    253,316568,6853-1922-1,133456419,9.76,"B2 IV-V:,ep",268.6767,-29.7295,Sgr
CD-4611959,HEN  1520,163007,8344-1290-1,23321922,7.51,"B5 V,e",269.0557,-46.7016,Ara
CD-2813895,MWC   895,163453,6853-2519-1,136017739,9.28,"B0.5: V,ep",269.3574,-28.2545,Sgr
CD-3014987,MWC   276,163454,7378-2406-1,261595315,8.24,B1 IV ne,269.3827,-31.0144,Sco
CP-41 8416,,163435,7894-1443-1,112679272,8.9,B9 III,269.5185,-41.5290,Sco
BD-20 4934,MWC   899,163848,6258-944-1,107503643,8.0,B8 IV-V e,269.7649,-20.0618,Sgr
CD-3312700,MWC   277,163868,7382-1514-1,263585910,7.38,B1.5 V: ne,269.9848,-33.4079,Sgr
CD-4012070,,164050,7903-58-1,326022066,7.5,B8 V,270.2968,-40.3351,CrA
BD+ 4 3570,MWC   278,164284,438-2741-1,404619905,4.64,"B2 V,e",270.0653,+4.3683,Oph
BD+19 3494,MWC   279,164447,1562-30-1,310924317,6.4,"B8 V,n",270.1146,+19.5054,Her
CD-2512642,,164741,6846-529-1,406735523,9.0,B1 III,270.9333,-25.3118,Sgr
CD-2413832,MWC   280,164906,6846-178-1,406820127,7.45,"B1 IV:,ep",271.1074,-24.3857,Sgr
CD-2413845,,164947,,,8.87,B2 V :n:,271.1738,-24.3484,Sgr
CD-3612198,HEN  1579,165063,,,7.3,B5 V ne,271.4349,-36.5787,Sgr
BD-19 4836,MWC   281,165285,6259-2481-1,184288765,9.01,"B0.5 V:,nne",271.4947,-19.9534,Sgr
BD-19 4858,HEN  1598,165783,6272-2074-1,176566841,8.41,B1: V,272.1126,-19.8685,Sgr
CD-2413962,,165921,6843-543-1,248798552,7.8,B0 V e:,272.3238,-23.9881,Sgr
BD-18 4815,MWC   282,166188,6268-2490-1,185659408,9.5,"B2 V:,ep",272.5760,-18.1943,Sgr
BD-20 5020,MWC   596,166443,6276-1009-1,115365400,8.74,"B1 V:,e",272.8510,-20.7121,Sgr
BD-18 4826,HEN  1617,166524,6268-1416-1,116084365,9.94,"B0: V,ep",272.9404,-18.3964,Sgr
BD-15 4856,MWC   284,166566,6264-1790-1,107960463,8.2,B1 II,272.9618,-15.6796,Ser
BD-18 4829,MWC   597,166568,6268-2035-1,116196759,10.4,"B1.5 V:,ep",273.0155,-18.7263,Sgr
BD-15 4861,MWC   285,166666,6264-1849-1,107961805,9.21,"B1 V:,ne",273.0766,-15.5671,Ser
BD-20 5060,MWC   287,312973,6272-19-1,244063177,8.84,"B0: IV:,ep",273.9019,-20.3670,Sgr
BD-18 4865,HEN  1646,167375,6272-454-1,244103353,8.24,B1 IV,273.9400,-18.9513,Sgr
CP-56 8706,,167128,8748-2276-1,118842700,5.33,"B3 III,ep",274.2811,-56.0226,Tel
BD-13 4928,MWC   916,,,114233081,10.1,"B0.5: V:,ne",274.6776,-13.7798,Ser
BD-13 4933,,,5689-949-1,114973120,10.69,B1.5 V,274.7694,-13.8047,Ser
BD-13 4936,MWC   918,,5689-1383-1,114971229,9.7,"B1: V:,ne",274.7956,-13.9448,Ser
CD-2414189,MWC   920,168331,6848-4435-1,48845257,9.3,Be*,275.0411,-24.9430,Sgr
BD+ 5 3704,MWC   601,168797,440-3824-1,168561745,6.13,"B3 V,e",275.3682,+5.4357,Ser
BD+24 3395,MWC   292,168957,2097-1108-1,85053204,7.01,B3 V,275.3654,+25.0562,Her
BD-12 5024,MWC   602,169033,5698-5464-1,119205821,5.7,B8 IV,275.8006,-12.0141,Sct
BD- 9 4713,MWC   926,,,,9.78,"B2: V:,nep",275.9671,-9.8986,Sct
BD-14 5047,MWC   931,,5702-2649-1,176410391,10.26,Be*,276.6635,-14.6405,Sct
BD-19 5007,MWC   296,169805,6274-832-1,138274038,8.8,B1.5 III: nnpe,276.7996,-18.9530,Sgr
BD-14 5062,MWC   298,170061,5702-193-1,204253248,9.3,"B0: ,nne",277.0026,-14.7061,Sct
CP-5211131,HEN  1701,169999,8371-422-1,389576843,10.6,B8 Vn(e),277.5265,-52.2043,Tel
CD-2513170,MWC   299,170235,6861-2842-1,324063309,6.59,B2 IV nep,277.3417,-25.2560,Sgr
BD-19 5036,,170682,6274-1190-1,186274351,7.92,B7 III,277.8505,-19.1582,Sgr
BD-19 5055,,170835,6275-142-1,186732744,8.8,B2.5 V ne,278.0733,-19.2135,Sgr
BD-11 4667,,,5699-2009-1,216043159,9.8,"B1: V:,ep",278.0788,-11.2895,Sct
BD-14 5102,,171054,5703-2697-1,,9.01,"B1 V,ep",278.2854,-13.9119,Sct
BD+05 3784,MWC   938,171219,454-143-1,416131384,7.7,B7 IV-V e,278.3242,+5.4449,Ser
BD+30 3227,,171406,2624-2082-1,27789031,6.59,B5 V,278.3456,+30.8920,Lyr
CD-2213117,MWC   302,171348,6279-380-3,380213,7.95,B2: V ne,278.8347,-22.0902,Sgr
BD+34 3245,MWC   604,171780,2632-380-1,377680086,6.1,B6 V,278.8058,+34.4571,Lyr
CD-2814778,MWC   943,171757,6866-1880-1,152101942,8.91,B2 V e,279.4170,-27.9849,Sgr
BD-20 5220,MWC   945,172122,6275-943-1,1806204,8.8,B2 IV np,279.8006,-20.3352,Sgr
CD-2213183,MWC   946,172158,6279-783-1,1927612,8.2,B8 III e,279.8754,-21.9652,Sgr
BD-12 5132,MWC   947,172252,5700-654-1,424494906,9.48,"B0 V:,e",279.9157,-11.8782,Sct
CD-2213192,MWC   606,172256,6858-1784-1,2556622,9.0,B1.5 V ne,280.0459,-22.6632,Sgr
BD-13 5073,MWC   949,,5704-797-1,425115568,10.14,"B1: IV:,ep",280.3430,-13.8409,Sct
BD-15 5063,MWC   303,172694,6280-1069-1,425620900,8.12,"B1 V,ne",280.5616,-15.8560,Sct
BD- 7 4689,MWC   304,173219,5125-325-1,163867454,7.81,"B1: V:,nep",281.1387,-7.1100,Sct
BD+01 3766,,173370,451-1386-1,170943910,5.0,B9 V e,281.2073,+2.0596,Aql
BD- 0 3543,MWC   956,173371,5113-100-1,225570875,6.8,B8 III,281.2327,-0.3726,Aql
BD- 8 4702,MWC   607,173637,5693-6591-1,145576502,9.35,B1 IV,281.6581,-7.9317,Sct
BD+52 2280,MWC   608,174237,3918-1829-1,48022676,5.9,B3 V,281.6789,+52.9879,Dra
BD+31 3369,,174179,2638-548-1,425704973,6.0,B3 IV p,281.9889,+31.7564,Lyr
BD+15 3573,MWC   305,174105,1584-3141-1,224418118,6.9,B6 IV-V e,282.0938,+15.3939,Her
CP-62 5983,MWC   963,173948,9074-2203-1,375232307,4.2,B1 V e,283.0539,-62.1871,Pav
BD+ 8 3866,MWC   610,174571,1026-2065-1,91663243,8.89,"B3 V:,ep",282.6964,+8.7025,Aql
BD- 7 4740,MWC   609,174513,5693-1041-1,151546818,9.0,"B1 V:,nep",282.7902,-7.7986,Sct
BD-11 4786,MWC   967,174705,5701-325-1,32227747,8.34,"B2 V,ne",283.0689,-11.6323,Sct
BD+59 1926,,175511,3930-1526-1,236785664,6.7,B9.5 V,283.0093,+59.6670,Dra
BD+59 1929,MWC   308,175863,4216-1087-1,233613741,7.06,"B4 V,e",283.4357,+60.0173,Dra
BD- 5 4819,AS    331,,,,10.3,"B2 IV:,ep",284.3041,-5.5242,Sct
BD+02 3738,,175869,453-352-1,227601265,5.6,B8 III,284.3190,+2.5352,Ser
BD-20 5381,MWC   309,177015,6290-914-1,442407565,7.8,B5 III,285.8880,-20.1280,Sgr
BD+10 3774,MWC   975,230579,,,9.13,"B1.5: IV:,ne",286.0329,+11.1066,Aql
BD-18 5191,MWC   973,177291,6287-85-1,273104010,8.66,Be*,286.1996,-18.7071,Sgr
BD+23 3549,MWC   310,177648,2122-635-1,278727918,7.24,"B2 V,e",286.1601,+23.3290,Vul
BD-19 5312,MWC   311,178175,6291-1685-1,187796346,5.54,"B2 V,e",287.0689,-19.2897,Sgr
BD+02 3815,MWC   978,179343,467-2562-1,181627638,7.0,B9 V,288.0134,+2.6224,Aql
CP-42 8667,HEN  1739,179253,7926-787-1,61566852,9.6,B5 V,288.4339,-42.4132,CrA
BD-16 5283,MWC   313,181615,6297-1419-1,334020482,4.6,B2 V P shell,290.4312,-15.9547,Sgr
BD+22 3687,MWC   316,344313,2125-1396-1,359326345,9.38,"B2 V:,ep",291.1906,+22.7741,Vul
BD+37 3465,MWC   318,183362,3134-116-1,351056971,6.34,B2 V n,291.9015,+37.9406,Lyr
BD+ 3 4043,MWC   988,183656,482-3754-1,224059021,6.05,B8 V,292.6376,+3.4438,Aql
BD+27 3411,MWC   618,183914,2133-2963-1,112981536,5.11,B8 V,292.6890,+27.9649,Cyg
BD+03 4065,MWC   319,184279,486-4746-1,392900293,6.9,B0.5 IV e,293.4037,+3.7611,Aql
